"Age","Preferred.Tour.Duration","Accessibility","Site.Name","Tour.Duration","Tourist.Rating","System.Response.Time","Recommendation.Accuracy","VR.Experience.Quality","Satisfaction"
43,6,"True","Eiffel Tower",1,2.4,2.57,99,4.4,3
41,7,"True","Great Wall of China",5,4.2,1.72,92,4.4,4
30,4,"False","Eiffel Tower",2,3.1,1.92,93,4.3,3
48,4,"False","Colosseum",3,3,2.05,89,4.2,3
41,8,"True","Machu Picchu",4,2.6,4.42,87,4.3,3
22,8,"True","Machu Picchu",5,4.3,3.93,94,4.8,4
18,5,"False","Taj Mahal",4,4.6,3.88,95,4.4,5
35,6,"False","Taj Mahal",3,2.2,2.94,91,4.7,3
69,6,"False","Taj Mahal",2,1.7,4.08,93,4.3,3
70,6,"True","Machu Picchu",1,2.9,3.05,94,4.4,3
25,8,"False","Machu Picchu",3,3.9,4.01,91,4.8,4
35,7,"True","Eiffel Tower",1,4.3,4.12,86,4.1,4
28,7,"False","Taj Mahal",4,1.5,4.86,96,4.7,3
35,3,"False","Machu Picchu",2,3,4.1,91,4.8,3
29,7,"False","Colosseum",4,3.8,4.23,95,4.2,4
54,7,"False","Great Wall of China",4,4.3,4.25,91,4.3,4
55,8,"False","Great Wall of China",2,2.8,2.65,98,4.7,3
47,8,"False","Great Wall of China",2,1.7,2.83,88,4,3
37,5,"True","Eiffel Tower",3,4.4,3.6,92,4.1,4
32,7,"False","Taj Mahal",7,2.2,3.71,95,4.1,3
33,8,"False","Taj Mahal",1,1.9,3.95,98,4.8,3
35,7,"False","Great Wall of China",3,2,1.92,96,4.4,3
28,3,"True","Great Wall of China",6,1.4,2.13,88,4.9,3
19,4,"True","Colosseum",2,2.1,3.5,88,4.4,3
26,4,"True","Eiffel Tower",5,5,3.16,90,4.9,5
55,4,"True","Great Wall of China",3,4.4,3.64,89,5,4
48,3,"True","Colosseum",3,2.7,3.02,89,4.6,3
43,8,"False","Eiffel Tower",1,4.1,3.02,97,4.1,4
28,8,"False","Eiffel Tower",4,4.8,3.88,96,4.8,5
46,5,"True","Great Wall of China",1,2.5,4.84,100,4.2,3
42,8,"False","Colosseum",1,2.1,1.5,97,4.1,3
18,4,"False","Eiffel Tower",1,3.1,3.18,90,4.1,3
25,3,"True","Eiffel Tower",2,4,4.87,100,4.5,4
58,4,"False","Great Wall of China",6,2.2,4.75,91,4.3,3
52,7,"False","Colosseum",2,2.5,2.67,90,4.3,3
56,7,"True","Taj Mahal",2,3,4.79,85,4.2,3
51,5,"True","Taj Mahal",4,4.2,3.02,92,4.3,4
20,3,"False","Machu Picchu",3,4.1,2.72,94,4.1,4
27,8,"True","Eiffel Tower",5,2.4,4.22,90,4.5,3
57,7,"False","Taj Mahal",5,2.9,3.78,96,4.6,3
25,8,"False","Eiffel Tower",3,2.9,1.76,85,4.2,3
61,7,"False","Great Wall of China",6,4.8,1.63,88,4.3,5
59,7,"False","Taj Mahal",2,2.2,4.79,99,4.1,3
59,4,"False","Great Wall of China",5,4.4,2.4,90,5,4
59,3,"False","Eiffel Tower",2,1.3,4.09,92,4.1,3
44,4,"False","Eiffel Tower",5,4.8,4.59,88,4.3,5
41,5,"False","Taj Mahal",3,1.8,4.44,99,4.8,3
44,6,"False","Great Wall of China",5,3.9,2.22,95,4.1,4
45,7,"False","Colosseum",1,4.4,3.74,96,4.9,4
66,6,"True","Eiffel Tower",6,1.4,1.7,89,4.7,3
22,6,"True","Machu Picchu",6,1.6,1.96,94,4.7,3
63,5,"False","Taj Mahal",2,2.1,4.62,87,4.4,3
47,4,"False","Colosseum",3,1.3,1.97,96,4.4,3
20,6,"True","Great Wall of China",2,3.9,2.77,85,4.1,4
42,4,"False","Taj Mahal",1,2.1,4.5,87,4.5,3
70,3,"True","Colosseum",4,2.4,4.58,93,4.4,3
54,8,"True","Eiffel Tower",3,2.6,2.9,88,4.5,3
70,8,"False","Eiffel Tower",5,4.2,2.6,92,4.5,4
59,7,"True","Colosseum",7,3.9,2.95,91,4.3,4
66,6,"False","Taj Mahal",5,4.8,1.68,94,4.9,5
34,7,"True","Taj Mahal",6,1.8,3.84,92,4.8,3
69,6,"False","Taj Mahal",3,4.3,4.84,96,5,4
56,7,"True","Machu Picchu",5,2.5,2.1,88,4.2,3
62,8,"True","Great Wall of China",4,1.3,3.21,94,4.1,3
51,3,"False","Colosseum",2,4,2.54,87,4.8,4
31,4,"False","Colosseum",7,1.6,2.97,86,4.2,3
59,3,"True","Colosseum",1,1.3,4.03,86,4.1,3
48,8,"True","Taj Mahal",4,1.8,3.48,86,4.4,3
39,3,"True","Machu Picchu",5,4.8,3.63,88,4.3,5
25,8,"True","Taj Mahal",2,2.4,2.65,86,4.6,3
22,4,"True","Colosseum",3,1.5,3.68,99,4.1,3
32,6,"True","Eiffel Tower",3,3.6,2.22,86,4.9,4
52,6,"False","Machu Picchu",4,4.7,2.55,88,4.9,5
27,8,"True","Eiffel Tower",6,1.4,3.8,88,4.3,3
67,8,"True","Eiffel Tower",3,2.1,4.4,87,4.1,3
28,3,"False","Colosseum",4,2.6,4.44,94,4.6,3
59,3,"True","Eiffel Tower",3,1.1,4.48,98,4.4,3
25,3,"True","Great Wall of China",3,1.2,4.56,97,4.4,3
51,5,"False","Machu Picchu",4,4.2,3.87,92,4.4,4
65,5,"False","Machu Picchu",1,3.6,4.04,85,4.3,4
32,7,"True","Great Wall of China",3,2.5,4.68,99,4.4,3
24,6,"False","Eiffel Tower",7,4.4,1.65,88,4.9,4
40,7,"True","Machu Picchu",4,3.7,4.22,90,4.5,4
52,8,"True","Colosseum",6,3.5,2.06,85,4.9,4
38,5,"True","Colosseum",7,3.3,3.06,86,4.3,3
20,6,"True","Eiffel Tower",4,3.9,2.89,92,4.5,4
19,6,"False","Taj Mahal",8,4.6,4.75,87,4.6,5
21,3,"True","Machu Picchu",8,2,3.13,89,4.1,3
39,5,"True","Great Wall of China",3,4.3,4.45,91,4.2,4
22,8,"True","Machu Picchu",2,2.3,2.24,89,4.2,3
36,7,"True","Colosseum",3,4.9,3.34,90,5,5
22,7,"True","Machu Picchu",5,4.9,1.88,85,5,5
35,4,"True","Machu Picchu",2,2.4,2.8,98,4.6,3
66,7,"True","Machu Picchu",3,3.4,4.92,99,4.9,3
65,4,"False","Machu Picchu",3,2.9,2.61,86,4.7,3
69,6,"True","Eiffel Tower",3,2.2,1.83,85,4.7,3
28,5,"True","Colosseum",3,4.8,2.7,96,4.7,5
56,8,"True","Colosseum",7,4.6,1.71,100,4.3,5
31,8,"False","Eiffel Tower",4,3.9,4.27,100,4.1,4
65,8,"True","Taj Mahal",7,4.1,4.91,87,4.1,4
18,3,"False","Machu Picchu",3,1.1,3.64,90,4.1,3
30,8,"True","Machu Picchu",6,2.1,3.12,96,4.4,3
51,3,"True","Eiffel Tower",2,1.7,3.18,98,4.6,3
35,4,"False","Taj Mahal",7,2.2,2.17,93,4.8,3
42,6,"False","Taj Mahal",2,2.1,4.21,87,4.3,3
18,5,"False","Eiffel Tower",3,3,4.15,91,5,3
59,7,"False","Taj Mahal",1,3.4,3.46,89,4.1,3
39,6,"True","Taj Mahal",1,1.7,4.63,93,4.5,3
70,6,"False","Colosseum",2,2.6,2.02,92,4.9,3
45,4,"True","Eiffel Tower",3,1.4,3.62,87,4,3
66,3,"True","Machu Picchu",1,2.7,3.14,90,4.9,3
53,8,"False","Taj Mahal",7,1,3.42,96,4.6,3
39,6,"True","Taj Mahal",8,4.7,2.53,88,4.7,5
41,6,"False","Colosseum",2,3.8,3.64,94,4.6,4
24,3,"False","Great Wall of China",6,3.3,2.11,99,4.2,3
34,3,"True","Eiffel Tower",7,1.2,3.43,96,4,3
43,4,"False","Machu Picchu",4,3.4,1.62,92,4.1,3
43,7,"True","Colosseum",3,3.9,3.81,85,4.4,4
21,3,"False","Great Wall of China",4,2.3,3.06,98,4.1,3
69,3,"True","Great Wall of China",6,3.2,1.95,86,4.6,3
46,4,"False","Colosseum",1,3.8,3.68,92,4.5,4
66,3,"True","Eiffel Tower",6,2.1,1.85,88,4.2,3
53,3,"True","Great Wall of China",3,3.4,2.73,90,4.6,3
45,5,"False","Taj Mahal",1,4,4.68,88,4.9,4
63,3,"False","Colosseum",4,2.1,3.28,100,4.6,3
35,4,"True","Taj Mahal",3,4,3.27,93,4.7,4
45,4,"True","Machu Picchu",4,1.5,1.86,87,4.9,3
59,6,"False","Eiffel Tower",8,4.9,2.67,90,4.8,5
27,4,"True","Eiffel Tower",5,3.2,1.62,94,4.5,3
47,7,"True","Great Wall of China",4,2.2,4.31,98,4.9,3
63,7,"False","Great Wall of China",2,3.4,4.45,96,4.9,3
39,8,"False","Eiffel Tower",2,2.8,4.21,96,4.4,3
44,3,"False","Great Wall of China",1,3.2,2.13,100,4.2,3
24,8,"True","Colosseum",4,3.5,3.88,87,4.9,4
42,7,"False","Machu Picchu",9,3.1,2.26,96,4.9,3
64,4,"True","Colosseum",5,4.9,4.19,93,4.2,5
43,6,"True","Eiffel Tower",4,4.2,3.64,90,4.1,4
19,7,"False","Machu Picchu",6,1.4,2.2,96,4.6,3
27,7,"False","Eiffel Tower",1,2.9,3.8,98,4.6,3
35,6,"True","Colosseum",5,3.2,2.68,99,4.5,3
29,7,"True","Great Wall of China",2,2,2.69,89,4.1,3
57,5,"True","Colosseum",7,4,4.17,91,4.8,4
34,7,"True","Machu Picchu",4,3.6,4.7,92,4.1,4
57,5,"True","Eiffel Tower",6,1.1,4.01,96,4.7,3
61,6,"True","Colosseum",1,4.2,2.36,86,4,4
22,6,"False","Taj Mahal",3,4.2,3.07,93,4.8,4
59,4,"False","Eiffel Tower",4,4.4,4.04,96,4.9,4
25,3,"True","Colosseum",1,2.7,2.78,93,4.9,3
41,3,"True","Great Wall of China",3,2.9,2.36,85,4.2,3
24,5,"False","Colosseum",4,4.8,1.55,100,4.1,5
43,8,"True","Colosseum",7,2,3.41,92,4.6,3
64,3,"False","Eiffel Tower",3,1.8,1.84,85,4,3
66,7,"True","Taj Mahal",2,3.1,1.78,96,4.8,3
51,4,"False","Taj Mahal",7,2.7,2.59,100,4.1,3
41,6,"True","Great Wall of China",5,4,4.96,98,4.2,4
51,3,"False","Eiffel Tower",2,1.3,3.96,91,4.9,3
57,8,"False","Taj Mahal",3,3.7,2.33,99,4.6,4
55,4,"True","Machu Picchu",2,3.3,3.33,87,4.1,3
33,7,"True","Taj Mahal",3,3,3.51,92,4.2,3
32,5,"False","Machu Picchu",7,4.4,2.4,97,4.9,4
54,5,"True","Colosseum",8,4,4.86,87,4.6,4
52,5,"True","Colosseum",1,4.3,2.85,88,4.4,4
67,6,"True","Eiffel Tower",2,3.3,3.72,88,4.1,3
47,7,"True","Taj Mahal",3,3.7,2.21,91,4.7,4
28,3,"False","Colosseum",6,2.6,3.9,86,4.3,3
38,6,"False","Great Wall of China",4,3.3,2.56,97,4.4,3
52,3,"True","Machu Picchu",2,1.1,2.92,94,4.8,3
69,7,"False","Colosseum",2,4.5,1.94,94,4.4,5
27,5,"False","Taj Mahal",6,3,1.76,89,4.2,3
44,5,"True","Taj Mahal",2,1.7,2.25,100,4.8,3
58,5,"True","Taj Mahal",6,2.4,3.7,100,4.8,3
38,7,"False","Great Wall of China",6,2,2.59,91,4.2,3
68,4,"False","Colosseum",6,2.5,2.39,86,4.7,3
24,4,"False","Eiffel Tower",6,1.4,4.28,85,4.7,3
41,8,"True","Colosseum",2,1.2,4.8,95,4.3,3
61,5,"False","Great Wall of China",3,3.1,4.18,86,5,3
33,8,"True","Machu Picchu",3,2.9,2.74,98,5,3
49,8,"True","Taj Mahal",5,2.7,1.76,97,4.2,3
37,3,"False","Machu Picchu",1,2.3,2.33,99,4.5,3
62,3,"False","Great Wall of China",7,3.7,2.45,87,4.9,4
61,8,"True","Colosseum",4,1.2,1.68,100,4.5,3
52,4,"True","Colosseum",3,2.6,2.5,100,4.2,3
37,7,"False","Great Wall of China",4,3.7,1.58,92,5,4
36,8,"False","Great Wall of China",2,4.5,3.34,87,4.4,5
41,3,"False","Eiffel Tower",6,4.8,2.6,86,4.6,5
18,6,"True","Taj Mahal",6,4.2,1.71,94,4,4
25,6,"True","Taj Mahal",4,1.2,4.16,94,4.7,3
23,8,"False","Eiffel Tower",3,4.9,3.45,92,4.7,5
41,5,"False","Machu Picchu",1,1.7,2.15,98,4.8,3
21,5,"False","Taj Mahal",5,3.5,4.22,90,4.1,4
67,3,"False","Eiffel Tower",8,1.6,2.11,85,4.7,3
24,7,"True","Great Wall of China",1,4.6,2.85,98,4.9,5
39,6,"True","Machu Picchu",3,2.2,4.92,89,4.3,3
36,8,"False","Machu Picchu",3,2.6,2.02,87,4.9,3
62,4,"False","Taj Mahal",1,3.2,2.7,89,4.8,3
30,6,"True","Great Wall of China",7,2.5,2.57,95,4.4,3
32,7,"True","Machu Picchu",2,3.6,3.61,90,4.4,4
69,4,"True","Great Wall of China",6,3.2,1.8,95,4.7,3
31,5,"True","Colosseum",6,1.5,3.64,100,5,3
64,5,"False","Eiffel Tower",1,3.3,1.9,85,4.5,3
48,7,"True","Great Wall of China",6,1.5,4.9,96,4.7,3
47,8,"True","Taj Mahal",1,2,3.67,96,4.7,3
29,3,"False","Great Wall of China",3,4.5,2.94,97,4.4,5
21,7,"False","Great Wall of China",7,4.5,3.26,93,4.1,5
37,6,"True","Eiffel Tower",1,4.3,2.51,97,4.3,4
54,5,"True","Colosseum",3,3.5,3.78,96,4,4
25,5,"False","Taj Mahal",1,2.8,3.65,94,4.1,3
66,3,"True","Colosseum",3,4.6,4.35,86,4.1,5
39,3,"False","Eiffel Tower",2,3.1,4.7,85,4.2,3
33,6,"False","Colosseum",6,1.4,3.9,91,4.5,3
51,7,"False","Great Wall of China",4,3,1.99,87,4.4,3
43,7,"False","Machu Picchu",6,4.8,2.92,94,4,5
33,3,"False","Great Wall of China",4,1.9,4.52,97,4.5,3
59,5,"True","Taj Mahal",6,3.5,4.66,90,4.3,4
44,7,"True","Colosseum",7,1.7,2.65,85,4.1,3
21,3,"False","Colosseum",4,2.9,2.21,100,4.9,3
45,7,"True","Taj Mahal",2,3.8,1.61,93,4.9,4
44,6,"True","Eiffel Tower",4,2.3,3.38,86,4.3,3
37,3,"True","Machu Picchu",8,3.4,1.74,85,4.2,3
53,8,"False","Colosseum",4,4.6,3.72,90,4.2,5
40,3,"False","Colosseum",6,4.1,2.56,91,4.4,4
36,7,"True","Colosseum",7,3.4,4.7,87,4.5,3
61,3,"False","Colosseum",1,3.2,3.47,97,4,3
41,7,"False","Eiffel Tower",4,3.1,3.63,92,4.4,3
35,6,"False","Machu Picchu",6,3.7,2.08,86,4.3,4
55,6,"True","Colosseum",4,4.6,3.56,94,4.1,5
68,7,"False","Machu Picchu",4,2,3,93,4.1,3
26,5,"False","Machu Picchu",4,2.9,3.44,91,4.4,3
44,5,"False","Machu Picchu",3,4.7,2.54,91,4,5
19,3,"True","Great Wall of China",6,3,2.3,90,4.8,3
68,3,"False","Eiffel Tower",6,1.7,2.01,91,5,3
54,6,"True","Great Wall of China",3,4.9,2.48,87,4.1,5
55,3,"True","Colosseum",6,4.9,4.99,86,4.8,5
28,6,"True","Colosseum",6,3.4,1.51,89,4.1,3
39,8,"True","Taj Mahal",6,2.4,4.98,99,4.8,3
56,6,"False","Taj Mahal",6,3.9,4.68,97,4.2,4
32,5,"True","Eiffel Tower",3,2.3,1.87,88,4.7,3
32,6,"True","Great Wall of China",2,2.9,3.81,97,4.7,3
18,5,"False","Taj Mahal",4,2.9,3.56,94,4.2,3
60,6,"True","Colosseum",3,1.3,4.85,97,4.6,3
28,3,"False","Machu Picchu",2,2.3,1.74,88,4.1,3
69,8,"False","Colosseum",6,1.7,3.74,97,4.6,3
46,8,"True","Colosseum",4,3.1,3.78,86,4.8,3
22,8,"False","Eiffel Tower",5,1.6,3.84,85,4.3,3
66,5,"False","Taj Mahal",4,4.5,4.32,91,4.9,5
58,7,"False","Colosseum",3,3.6,2.94,87,4.5,4
48,6,"True","Machu Picchu",3,1.4,1.69,96,4.4,3
70,6,"False","Taj Mahal",5,4.6,1.78,85,4.6,5
70,7,"True","Colosseum",2,4.5,3.8,88,4.9,5
39,6,"True","Colosseum",5,3.1,3.62,97,4.1,3
53,8,"False","Eiffel Tower",1,2,3.48,86,4.4,3
49,8,"True","Taj Mahal",3,3.9,3.73,95,4.7,4
18,6,"False","Machu Picchu",3,3.4,4.61,99,4.4,3
22,7,"True","Machu Picchu",4,1.6,2.57,85,4.4,3
32,8,"True","Great Wall of China",6,2.6,2.3,92,4.6,3
64,5,"False","Machu Picchu",6,4.8,3.95,98,4.6,5
28,8,"True","Great Wall of China",4,4.9,4.3,91,4.2,5
62,6,"False","Great Wall of China",2,4.2,2.22,100,4.1,4
26,5,"True","Machu Picchu",6,4.5,3.33,94,4.7,5
35,6,"True","Taj Mahal",7,3.1,2.24,96,4.2,3
49,7,"False","Great Wall of China",3,2.8,4.08,91,4.3,3
25,8,"True","Machu Picchu",4,2.9,1.79,96,4.4,3
51,3,"False","Machu Picchu",1,2.2,3.75,100,4.3,3
24,5,"False","Eiffel Tower",4,2.2,4.14,99,4.8,3
56,4,"True","Colosseum",5,3.4,4.39,95,4.3,3
44,7,"True","Eiffel Tower",3,4.1,2.17,95,4.9,4
29,6,"True","Colosseum",5,3.4,2.39,93,4.5,3
44,7,"True","Machu Picchu",1,3.8,2.94,85,4.3,4
34,7,"False","Taj Mahal",2,1.4,4.06,92,4.7,3
26,3,"True","Taj Mahal",5,1.4,3.89,87,4.6,3
18,3,"False","Great Wall of China",9,4,4.08,97,4.9,4
67,4,"False","Eiffel Tower",6,2.8,3.94,99,4.2,3
41,6,"True","Eiffel Tower",3,1.4,2.3,91,4.4,3
18,4,"False","Colosseum",1,3.7,5,91,4.2,4
68,4,"False","Machu Picchu",5,3.9,2.19,97,4.7,4
57,5,"False","Machu Picchu",8,3.3,3.82,91,4.5,3
39,6,"True","Eiffel Tower",4,2.3,2.21,87,4.1,3
20,6,"False","Colosseum",3,3.3,3.09,100,4.6,3
55,6,"False","Taj Mahal",6,4.4,3.26,100,4.5,4
27,6,"True","Colosseum",6,3,4.27,86,4.9,3
29,7,"False","Colosseum",1,3.2,4.42,96,4.3,3
52,5,"False","Eiffel Tower",7,1.9,4.58,85,4.2,3
23,3,"False","Eiffel Tower",7,1.1,1.65,94,4.1,3
46,5,"True","Eiffel Tower",5,2.3,2.27,86,4.1,3
35,6,"True","Eiffel Tower",5,2.5,4.25,86,4.1,3
46,5,"True","Taj Mahal",4,2.1,3.82,97,4.4,3
25,7,"True","Taj Mahal",4,2.5,3.4,85,4.5,3
57,5,"True","Machu Picchu",2,2.6,3.25,96,4.1,3
33,4,"True","Great Wall of China",4,2.8,1.65,87,4,3
53,7,"False","Great Wall of China",4,4.5,4.37,93,4.1,5
49,7,"False","Great Wall of China",2,4.9,4.8,91,4.3,5
22,3,"True","Machu Picchu",4,4.3,3.16,90,4.9,4
28,7,"False","Colosseum",6,1.8,3.9,96,4.8,3
38,7,"False","Taj Mahal",1,2.6,4.34,85,4.8,3
38,6,"False","Taj Mahal",5,4.4,2.42,98,4.4,4
57,3,"True","Taj Mahal",3,2.9,3.15,92,5,3
19,7,"False","Colosseum",6,3.4,3.6,85,4,3
50,7,"False","Taj Mahal",1,1.7,4.33,87,4.2,3
26,3,"False","Eiffel Tower",3,1.9,3.23,91,4.2,3
65,4,"True","Great Wall of China",1,4.5,3.84,95,4.8,5
41,8,"True","Eiffel Tower",2,3,2.76,90,4.7,3
55,6,"False","Eiffel Tower",6,2.3,3.81,87,4.6,3
45,5,"True","Machu Picchu",3,2.3,1.83,98,4.3,3
43,3,"True","Taj Mahal",1,3.3,2.38,97,4.5,3
47,6,"False","Eiffel Tower",2,3.8,2.17,88,4.2,4
64,3,"True","Great Wall of China",1,1.2,3.8,89,4.5,3
65,6,"False","Colosseum",7,1.1,4.91,91,4.1,3
48,8,"True","Eiffel Tower",6,1.6,1.69,86,4.7,3
25,7,"False","Machu Picchu",6,4.1,3.89,87,4,4
26,3,"False","Colosseum",7,2.1,2.49,90,4.6,3
30,4,"True","Machu Picchu",3,3.1,2.17,98,4.2,3
26,8,"True","Great Wall of China",8,4.9,2.92,88,4.5,5
31,5,"False","Machu Picchu",5,4.3,2.81,94,4.4,4
42,3,"True","Colosseum",4,4.1,4.7,92,5,4
47,6,"False","Great Wall of China",2,4.8,4.5,87,4.6,5
54,7,"False","Eiffel Tower",3,1.8,3.94,87,4.7,3
21,3,"False","Machu Picchu",2,1.1,2.19,90,4.8,3
42,8,"False","Taj Mahal",4,2.7,1.61,100,4.5,3
64,7,"True","Machu Picchu",4,2.8,2.12,97,4.7,3
42,8,"False","Eiffel Tower",1,2.1,2.53,94,4.4,3
19,3,"False","Machu Picchu",3,2.1,1.71,98,4.6,3
70,3,"False","Taj Mahal",4,2.9,3.04,95,4.8,3
23,7,"True","Colosseum",8,3.8,4.58,90,4.4,4
26,5,"False","Colosseum",7,3.6,2.33,98,4.8,4
62,4,"True","Colosseum",1,3.5,1.78,88,4.2,4
70,5,"False","Machu Picchu",2,2.5,4.94,93,5,3
52,6,"False","Eiffel Tower",6,3,4.78,99,5,3
18,6,"False","Great Wall of China",1,4.7,4.57,97,4.6,5
56,4,"True","Eiffel Tower",4,3.2,2.52,88,4.4,3
31,6,"True","Colosseum",2,2.4,2.63,100,5,3
31,6,"True","Eiffel Tower",2,2.5,2.61,97,4.7,3
31,8,"False","Taj Mahal",7,3.9,2.08,97,4.2,4
59,5,"False","Taj Mahal",5,4.8,4.46,93,4.2,5
40,8,"True","Eiffel Tower",3,2.4,1.83,87,4.8,3
62,7,"True","Machu Picchu",4,3.1,2.21,90,4.4,3
38,3,"True","Great Wall of China",1,4.4,4.8,89,4.5,4
50,7,"False","Great Wall of China",4,2.6,1.72,86,4.4,3
50,5,"False","Taj Mahal",4,1.8,2.87,87,4.8,3
56,4,"False","Eiffel Tower",2,4.7,3.55,99,4.3,5
36,5,"True","Machu Picchu",1,4.7,4.88,99,4.9,5
29,7,"False","Colosseum",5,3.9,3.45,92,4.6,4
62,7,"True","Great Wall of China",5,4.7,3.15,94,4.5,5
34,8,"False","Eiffel Tower",3,4.5,3.23,96,4.3,5
57,8,"True","Eiffel Tower",2,3.4,3.56,87,4.6,3
44,8,"True","Eiffel Tower",5,3.2,4.99,88,4.6,3
31,3,"True","Eiffel Tower",3,1.3,1.85,96,4.3,3
37,8,"True","Machu Picchu",6,2.3,2.27,90,4.9,3
69,8,"True","Taj Mahal",4,2.8,3.61,94,5,3
47,4,"True","Great Wall of China",1,3.3,2.94,95,4.4,3
60,4,"False","Taj Mahal",3,1.9,1.69,88,4.1,3
49,6,"True","Eiffel Tower",4,3.3,4.52,99,4.5,3
53,7,"True","Eiffel Tower",6,3.8,3.98,92,4.1,4
41,8,"True","Machu Picchu",4,1.5,2.46,90,4.8,3
49,5,"True","Great Wall of China",3,2.9,2.92,95,4.7,3
57,8,"True","Machu Picchu",2,3.7,3.87,86,4.9,4
45,3,"True","Taj Mahal",3,1.7,4.21,87,4.1,3
35,5,"True","Colosseum",3,4.2,4.92,93,4.8,4
38,6,"True","Taj Mahal",7,1.1,4.77,86,4.1,3
38,6,"False","Colosseum",2,1.2,1.66,90,5,3
34,7,"True","Eiffel Tower",1,1.1,2.34,96,4.1,3
48,6,"False","Eiffel Tower",5,1.3,4.61,89,4.7,3
55,3,"False","Great Wall of China",3,1.4,1.78,96,4.5,3
63,7,"False","Eiffel Tower",5,2.7,4.11,99,4.3,3
69,5,"True","Machu Picchu",4,4.5,3.5,100,4.2,5
29,5,"False","Colosseum",9,4.6,3.82,86,5,5
62,5,"False","Great Wall of China",2,2.7,1.58,96,4,3
67,7,"False","Machu Picchu",5,1.9,1.89,85,4,3
54,8,"True","Great Wall of China",6,4.6,3.22,85,4.4,5
38,7,"True","Eiffel Tower",1,3.8,4.72,89,4,4
39,8,"False","Machu Picchu",3,3.6,4.16,95,4.9,4
40,5,"True","Eiffel Tower",3,1.1,3.37,99,4.9,3
47,3,"False","Colosseum",6,2,4.18,100,4.4,3
70,6,"False","Colosseum",1,4,2.72,86,4.4,4
40,5,"False","Great Wall of China",4,2.8,2.65,88,4.2,3
34,6,"True","Colosseum",4,2.2,2,97,4.4,3
18,6,"True","Eiffel Tower",3,2.1,2.16,85,4.1,3
60,8,"False","Great Wall of China",5,5,3.12,85,4.7,5
